,,
,,
,,
,,
FIPS_Code,Stabr,PCTPOVALL_2021
09007,CT,6.6
09009,CT,12
09011,CT,8.9
09013,CT,11.1
09015,CT,11.6
10000,DE,11.5
10001,DE,12.2
10003,DE,11.4
10005,DE,11.5
11000,DC,16.8
11001,DC,16.8
12000,FL,13.2
12001,FL,19.1
12003,FL,16.1
12005,FL,13.9
12007,FL,19.1
12009,FL,11.3
12011,FL,12.8
12013,FL,20.6
12015,FL,10.9
12017,FL,15.5
12019,FL,8
12021,FL,10.4
12023,FL,16.5
12027,FL,25.5
12029,FL,23.4
12031,FL,14.9
12033,FL,18.5
12035,FL,10.3
12037,FL,21
12039,FL,25.8
12041,FL,15.3
12043,FL,19.2
12045,FL,15.7
12047,FL,25.7
12049,FL,21.9
12051,FL,21.7
12053,FL,12
12055,FL,15.1
12057,FL,14.3
12059,FL,20
12061,FL,11.7
12063,FL,20.6
12065,FL,16.4
12067,FL,18.9
12069,FL,10
12071,FL,12.2
12073,FL,16.2
12075,FL,18.8
12077,FL,23.1
12079,FL,21.8
12081,FL,9.9
12083,FL,13.6
12085,FL,11.4
12086,FL,15.2
12087,FL,11
12089,FL,9.9
12091,FL,9.7
12093,FL,20.9
12095,FL,14.9
12097,FL,13.3
12099,FL,11.6
12101,FL,11.6
12103,FL,12.3
12105,FL,15.6
12107,FL,26.3
12109,FL,6.3
12111,FL,11.4
12113,FL,8.9
12115,FL,8.6
12117,FL,9.4
12119,FL,9.5
12121,FL,20.6
12123,FL,20.1
12125,FL,22.7
12127,FL,13.8
12129,FL,10.1
12131,FL,12.4
12133,FL,19.2
13000,GA,14.2
13001,GA,18.2
13003,GA,23.8
13005,GA,23.4
13007,GA,25.9
13009,GA,24.4
13011,GA,12.8
13013,GA,9.6
13015,GA,11.6
13017,GA,22.1
13019,GA,17.2
13021,GA,24.5
13023,GA,19
13025,GA,18.4
13027,GA,23.5
13029,GA,8.1
13031,GA,21.3
13033,GA,20.7
13035,GA,14
13037,GA,34
13039,GA,11.8
13043,GA,22
13045,GA,16.3
13047,GA,11.6
13049,GA,24.6
13051,GA,15.5
13053,GA,16.5
13055,GA,20.2
13057,GA,7
13059,GA,21.5
13061,GA,24.3
13063,GA,18.9
13065,GA,23.9
13067,GA,9.6
13069,GA,26
13071,GA,22.4
13073,GA,7.3
13075,GA,20.1
13077,GA,8.1
13079,GA,16.3
13081,GA,24.2
13083,GA,11.3
13085,GA,9
13087,GA,23.8
13089,GA,14.5
13091,GA,25.6
13093,GA,22.5
13095,GA,26.1
13097,GA,12.8
13099,GA,26.1
13101,GA,21.6
13103,GA,9.2
13105,GA,19.2
13107,GA,24.1
13109,GA,23.9
13111,GA,13.2
13113,GA,6.5
13115,GA,16.2
13117,GA,5.3
13119,GA,16.5
13121,GA,13.7
13123,GA,14
13125,GA,15.3
13127,GA,16.5
13129,GA,12.8
13131,GA,22.4
13133,GA,14
13135,GA,10.8
13137,GA,13.3
13139,GA,12.1
13141,GA,30.5
13143,GA,14.9
13145,GA,8.2
13147,GA,15.8
13149,GA,17.2
13151,GA,9.5
13153,GA,11.6
13155,GA,21.4
13157,GA,11.9
13159,GA,14.7
13161,GA,19.4
13163,GA,20.3
13165,GA,27.4
13167,GA,26.7
13169,GA,12.5
13171,GA,14.1
13173,GA,19.8
13175,GA,21.9
13177,GA,9.8
13179,GA,18.1
13181,GA,16.5
13183,GA,14.6
13185,GA,24.4
13187,GA,13.6
13189,GA,19.6
13191,GA,21.4
13193,GA,30.3
13195,GA,15.1
13197,GA,21.3
13199,GA,21.7
13201,GA,24.2
13205,GA,24.7
13207,GA,11.7
13209,GA,20.8
13211,GA,10.9
13213,GA,15.7
13215,GA,20.4
13217,GA,12.5
13219,GA,6
13221,GA,13.4
13223,GA,7.6
13225,GA,19.5
13227,GA,10.3
13229,GA,15.4
13231,GA,9.7
13233,GA,17.7
13235,GA,20.9
13237,GA,16.2
13239,GA,24.5
13241,GA,12.5
13243,GA,28.1
13245,GA,21.4
13247,GA,13.6
13249,GA,16.1
13251,GA,20.3
13253,GA,23.3
13255,GA,21.3
13257,GA,16.7
13259,GA,31.4
13261,GA,27.9
13263,GA,23.3
13265,GA,23
13267,GA,28
13269,GA,22.7
13271,GA,30.2
13273,GA,26.6
13275,GA,19.1
13277,GA,21.4
13279,GA,22.9
13281,GA,13.6
13283,GA,21.8
13285,GA,15.6
13287,GA,26.2
13289,GA,21.1
13291,GA,12
13293,GA,18.8
13295,GA,14.2
13297,GA,10.7
13299,GA,24.3
13301,GA,25.6
13303,GA,22.6
13305,GA,24.7
13307,GA,20.4
13309,GA,33.2
13311,GA,12.5
13313,GA,13.4
13315,GA,27.6
13317,GA,20.1
13319,GA,21.2
13321,GA,20.6
15000,HI,10.9
15001,HI,14.7
15003,HI,10
15005,HI,
15007,HI,11.2
15009,HI,11.4
16000,ID,10.8
16001,ID,8.7
16003,ID,12.8
16005,ID,12.9
16007,ID,9.7
16009,ID,13.7
16011,ID,11.3
16013,ID,7.2
16015,ID,12
16017,ID,11.8
16019,ID,9.8
16021,ID,12.1
16023,ID,15.8
16025,ID,9.5
16027,ID,11
16029,ID,9.8
16031,ID,11.3
16033,ID,14.3
16035,ID,14.8
16037,ID,12.6
16039,ID,11.3
16041,ID,8.2
16043,ID,11.8
16045,ID,12.4
16047,ID,10.9
16049,ID,13.5
16051,ID,8
16053,ID,12.6
16055,ID,9.5
16057,ID,13.6
16059,ID,12
16061,ID,13.2
16063,ID,11.3
16065,ID,17.6
16067,ID,13.9
16069,ID,15.4
16071,ID,10.8
16073,ID,14.2
16075,ID,12
16077,ID,12.7
16079,ID,17.9
16081,ID,7.4
16083,ID,13.4
16085,ID,8.3
16087,ID,13.7
17000,IL,12.1
17001,IL,11.8
17003,IL,21.8
17005,IL,13.5
17007,IL,10.1
17009,IL,16.6
17011,IL,12.1
17013,IL,10.1
17015,IL,13.5
17017,IL,11.4
17019,IL,15
17021,IL,12
17023,IL,10.2
17025,IL,14.1
17027,IL,9.1
17029,IL,17.4
17031,IL,13.8
17033,IL,13.6
17035,IL,10.4
17037,IL,14.2
17039,IL,10.7
17041,IL,9.1
17043,IL,6.9
17045,IL,13
17047,IL,12
17049,IL,9.3
17051,IL,15.3
17053,IL,11.2
17055,IL,16.5
17057,IL,15.2
17059,IL,17.4
17061,IL,14.1
17063,IL,6.6
17065,IL,13.2
17067,IL,11.9
17069,IL,18.7
17071,IL,12.3
17073,IL,9.5
17075,IL,10.6
17077,IL,22.3
17079,IL,9.9
17081,IL,15.3
17083,IL,9.3
17085,IL,8.6
17087,IL,13.3
17089,IL,8.6
17091,IL,13.4
17093,IL,4.9
17095,IL,14.7
17097,IL,8.5
17099,IL,13.2
17101,IL,19.2
17103,IL,13.2
17105,IL,11.7
17107,IL,13.5
17109,IL,17.9
17111,IL,6
17113,IL,13.4
17115,IL,17.1
17117,IL,15.4
17119,IL,11.4
17121,IL,15.5
17123,IL,9.9
17125,IL,12.4
17127,IL,16.5
17129,IL,8.4
17131,IL,11
17133,IL,4.5
17135,IL,13.2
17137,IL,14.1
17139,IL,9.6
17141,IL,8.4
17143,IL,16.3
17145,IL,16.6
17147,IL,6.5
17149,IL,13.7
17151,IL,17.1
17153,IL,22.3
17155,IL,7.5
17157,IL,15
17159,IL,14.2
17161,IL,16.5
17163,IL,13.3
17165,IL,17.6
17167,IL,14.4
17169,IL,12.3
17171,IL,11.5
17173,IL,10.3
17175,IL,11.4
17177,IL,12.1
17179,IL,9.3
17181,IL,17
